"name","reviewCount","rating","published","title","content"
"Keld Korsgaard",3,55,2021-03-20,"Home, Hvidovre","Home, Hvidovre har lavet super flot stykke arbejde med at sælge vores bolig i Hvidovre. Meget behagelige fyre på kontoret. Man føler sig godt behandlet. De gode til at informere om salget og man kan altid få fat på dem på telefon og mail."
"Elham",57,55,2021-03-21,"Home Falkoner Alle","Hurtigt, professionelt, venlig"
"Berit",4,55,2021-03-19,"Home NrNebel","Home NrNebelStort tak til Home i Nr Nebel for super godt samarbejde i forbindelse med salg af vores sommerhus. Det gik væsentligt hurtigere end forventet. De var super gode til at holde os orienteret og var altid hurtige til at svare på vores henvendelser. Varm anbefaling herfra."
"Oluf Eskelund",2,55,2021-03-19,"Vi har haft en positiv salgsoplevelse med Home Århus N","Vi har haft en positiv oplevelse med Home Århus N ved salget af vores lejlighed. De har på fornemste vis formået at sælge  lejligheden på få dage.  De har overholdt samtlige aftaler og hele tiden holdt os opdateret med salget. Salgsoplevelsen har været positiv, og vi vil trygt anbefale andre at gøre brug af Homes faglige og personlige ekspertise."
"Merete Heiden",19,55,2021-03-18,"Stor tak til Andreas, Home i Vejgaard","Andreas fra Home i Vejgaard solgte vores hus på 21 dage, efter Home overtog salget fra anden mægler.God kemi, fantastisk humør og ikke mindst en professionel håndtering og rådgivning. Vi har været i trygge hænder, så tak for et FANTASTISK samarbejde."
"Ruth ",1,55,2021-03-18,"Home Nørre Nebel.","Home Nørre Nebel.Det har været en god oplevelse, de er professionelle, effektive og hjælpsomme hele vejen gennem forløbet.Vil helt klart anbefale Home Nørre Nebel."
"Kenneth Fischer",4,55,2021-03-18,"Vi har solgt vores hus igennem Home…","Vi har solgt vores hus igennem Home Søborg . 15 dage gik der med et lille afslag i pris før huset var solgt . Vi har været meget tilfredse med Home Søborg ‘s håndtering af vores hussalg . Home Søborg får derfor de varmeste anbefalinger fra os Bh. Britt & Kenneth"
"Kim Bo",2,55,2021-03-17,"Home i Kalundborg","Home i Kalundborg er bedre end det er rimeligt at forvente. Fra prissætning og til underskrevet købsaftale, er salget forløbet helt fantastisk. Professionelle og dygtige medarbejdere som styrer forløbet trygt og med sikker hånd - der vil jeg handle bolig igen :)"
"Carsten Rosendal Nielsen",17,55,2021-03-17,"Home Juelsminde","Home Juelsminde. God service og fin tilbagemelding omkring fremvisninger. Meget tilfreds."
"Mrs Isabel Bjerg",3,55,2021-03-17,"Dygtige og kompetente mæglere","Dygtige og kompetente mæglere! Vi følte os vel informeret og inddraget under hele hussalget. Vi kan til enhver tid, anbefale home ved køb/salg af bolig."
"Marianne",2,55,2021-03-16,"Home Juelsminde","Det har været en fornøjelse, de er super professionelle, søde og effektive. De har taget sig af alt, så vi har følt os trykke hele vejen. Vil helt klart anbefale Home Juelsminde"
"Lars Jedig Bork Petersen",1,55,2021-03-16,"Home Slagelse","super professionel, hurtig og effektivsøde og hjælpsomme vi følte os trykke hele vejen igennem.vi anbefaler helt sikkert home I slagelse"
"Lisa",2,55,2021-03-10,"Professionelt og velforberedt fra…","Professionelt og velforberedt fra første møde, stort tak til Home Valby og i sær Marcus Bjerregaard! Super godt gået :)"
"Frederik Klejs",1,55,2021-03-10,"Lejlighed på Nørrebro","Jeg solgte min lejlighed igennem home Nørrebro og det var en lidt besværlig process grundet køber, men home hjalp hele vejen. Jeg kunne altid ringe og skrive til mine egendomsmæglere og de rykkede hurtigt på alt lige fra salgsopstillig til forhandling med køber. Jeg kan kun anbefale dem."
"Thim Le",2,55,2021-03-10,"Home Frederikshavn","6 ud af 5 stjerner til Home teamet i Frederikshavn, i særdeleshed til Helle Storch!Hele vores forløb af salg OG køb af bolig, har været helt igennem top professionelt.Fra forløbets start til de afsluttende underskrifter har alt gået som spået ved første møde.Spørgsmål om både stort og småt er blevet modtaget og besvaret til U.G og venligheden har været ud over det forventede.Home teamet Frederikshavn er et bevis for at service og kvalitet sagtens kan gå hånd i hånd og at tros travle hverdage så kan De stadig finde overskud til at finde smilet frem!De varmeste anbefalinger fra et MEGET tilfreds par.Thim og Anne-Katrine Le"
"Shila Frank",11,45,2021-03-10,"Dygtige mæglere","Dygtige mæglere, der har gjort et stort benarbejde for at sælge vores bolig. Vi har følt os i trygge hænder igennem hele processen"
"Berit Launbo",1,55,2021-03-09,"Home Søborg/Dyssegård har været yderst…","Home Søborg/Dyssegård har været yderst professionelle og fik solgt min lejlighed i Mørkhøj på 8 dage. Suveræn kundeservice og feedback hele vejen igennem. Tak."
"Kirsten Barthels",8,55,2021-03-09,"Professionel og hurtig handel","Professionel og hurtig handel. HOME Randers er altid en god og fair partner"
"Anne-Marie Bak",9,55,2021-03-09,"Professionel salg","Home I Blokhus har været professionelle og nærværende ved salget af vores sommerhus. Anne-Marie"
"Malla A'Shadieeyah",8,55,2021-03-09,"Home Vordingborg var fantastiske og de…","Home Vordingborg var fantastiske og de fik solgt vores hus hurtigt og effektivt. Formidabel kundeservice, masse god information under hele processen. Imødekommende og lyttende ansatte. Kan varmt anbefale Home Vordingborg."
"per jensen",2,55,2021-03-23,"gjort hvad de skulle til for at sælge…","gjort hvad de skulle til for at sælge vores bolig - og af og til lidt mere  - rosen skal gå til home Maribo"
"Fariba",2,55,2021-03-08,"Kæmpe tak til HOME Nivå <U+0001F60A> god service…","Kæmpe tak til HOME Nivå <U+0001F60A> god service og styr gennem hele salgsforløbet, de var service minded og super professional  hele vejen  igennem, derfor får de største anbefalinger herfra!Masoud&Fariba"
"stella Hviid",1,45,2021-03-08,"Mægler Zack Zander","Oplevelsen ved mit salg og senere køb gennem Home ved mægler Zack Sander har været fremragende. Zack overrumplede mig ved 1. besøg  hvor jeg nok følte mig lidt ""snigløbet""men det vider forløb har været fremragende Jeg er blevet vel orienteret og har altid kunnet spørge ind til alt jeg ikke forstod."
"Ole Aase-Jørgensen",10,55,2021-03-08,"Salget er forløbet hurtigt og…","Salget er forløbet hurtigt og problemfrit, til stor tilfredshed for os."
"Jørn Kjellerup",19,45,2021-03-08,"Det har været en trolig lang proces","Det har været en trolig lang proces. Men nu er det endelig ved at være gennemført."
"cirkeline8",26,55,2021-03-08,"Effektiv og dygtig <U+0001F929>","Hold nu op. Hurtigere salg skal man lede længe efter.  Stefan fra Home Behrendsen & Christensen i Esbjerg er en virkelig professionel og dygtig mægler som vi varmt vil anbefale."
"Lars Rønne",11,55,2021-03-06,"Seriøst arbejde","Home har arbejdet seriøst, effektivt og hurtigt med vores salg"
"Lars Pedersen",2,55,2021-03-05,"Stor ros til HOME Haderslev <U+0001F60A> God…","Stor ros til HOME Haderslev <U+0001F60A> God service og hurtig handel - de får de største anbefalinger herfra!"
"Stefan",1,55,2021-03-05,"Home Skibhusvej","Vi har haft en super oplevelse med salget af vores hus. Home på Skibhusvej har nogle rigtigt dygtigt og profesionelle folk. Der har ikke været noget at sætte en finger på."
"charlotte nielsen",21,55,2021-03-05,"Vi har været så tilfredse med vores…","Vi har været så tilfredse med vores hussalg fra Home karlslunde/greve. Vi fik hurtigt solgt huset og Zach var vi glade for at have som mægler."
"Tage Refsgaard",23,45,2021-03-05,"Solidt og professionelt arbejde.","Seriøs og målrettet indsats straks fra dag 1. God og præcis information i hele forløbet."
"Ulrik P",4,55,2021-03-05,"home Hunderup (Odense)","Salg af lejlighed ved Jakob forløb over al forventning. Super hurtig og præcis respons på alle henvendelser. Kan varmt anbefale home Hunderup/Jakob"
"Mette Flensborg",1,55,2021-03-04,"Mega hurtig og effektivitet salg","Mega hurtig og effektivitet salg. 8 dage så var vores lejlighed solgt. Super service fra alle mand - god kommunikation hele vejen igennem - vil klart anbefale HOME Horsens ved Claus Bekker"
"Olga",3,55,2021-03-04,"Home i Vordingborg er den bedste…","Home i Vordingborg er den bedste ejendomsmægler der findes!Det var dem der solgte mit hus til mig, da jeg købte det. Og trods det, at de er sælgers rådgiver, havde jeg sådan en god oplevelse med dem, at jeg selvfølgelig valgte at bruge dem, da jeg måtte sælge huset igen tre år senere!Det har jeg ikke fortrudt! Jeg kommer helt til at savne dem!"
"Kris",7,55,2021-03-04,"Salg i Roskilde, så vælg Home Ro's Torv.","Vi har været fuldt tilfredse med Home Ro's Torv og er blevet fulgt hele vejen i salgsproccessen. Professionel rådgivning og et godt samarbejde. Vi endte med et hurtigt og meget tilfredsstillende salg, der gjorde at vi kunne komme videre i drømmehuset. Vi blev så glade for Home at vi også benytter dem i vores købsproces. Mange anbefalinger herfra!"
"Inge Yndal Hansen",6,55,2021-03-04,"Salg af bolig","Vi er meget tilfredse med den service vi har fået af teamet fra Home i Otterup i forbindelse med salget af vores bolig. Vi er hele tiden blevet opdateret efter fremvisninger af huset, og ligeledes med tilbagemelding om interesserede købere."
"Christian",3,55,2021-03-03,"Super godt arbejde home","Super godt arbejde home. Vi er super tilfreds <U+0001F917><U+0001F44D>"
"Jane Hedegaard",4,55,2021-03-03,"God proces mht vores salg og…","God proces mht vores salg og efterfølgende køb. Grundig og ordentlig rådgivning og betjening i de forskellige facer. Kun godt at sige om Home Esbjerg og vores mægler Simon:)"
"Carsten Hjorth Jensen",4,55,2021-03-03,"Home Ballerup – Professionelle fra A-Z","Det har været en fornøjelse at arbejde sammen med Salgschef & Partner Christina Midtgaard fra Home Ballerup. Fra første kontakt var Christina passioneret omkring vores salg. Hun var gennem hele forløbet transparent, imødekommende og gennemført professionel i forhold til processen og alle detaljer i kontrakt, salgsmateriale og endelig handel. Vi havde et fantastisk samarbejde om salgsprocessen og spørgsmål fra vores side blev prompte besvaret, så vi var trygge og orienteret om alle detaljer hele vejen igennem. Christinas store engagement, hendes store netværk og det flotte salgsmateriale var alt sammen med til, at vores hus blev solgt på bare 4 dage.Sanne & Carsten"
"Karina",4,55,2021-03-04,"Super service fra første besøg til…","Super service fra første besøg til fremvisning og nu hvor det er solgt.Kan klart anbefale Home Ishøj - Vallensbæk.Man er i trygge hænder og så er de bare alle super søde. Stort skulderklap her fra <U+0001F60A>"
"Sine",10,55,2021-03-03,"Tillid, professionel og i øjenhøjde","Tillid, professionel og i øjenhøjde - det er de 3 grundlæggende egenskaber som jeg satte størt pris på ved mit samarbejde med Home Grenaa. Sofie gjorde det trygt for mig som sælger, at være i den til tider hårde proces det nu engang er at sælge sit hus. Jeg er glad for at jeg valgte Home, Sofie, som min mægler!"
"Flemming Thurøe",8,55,2021-03-03,"Særdeles tilfredsstillende!!","Særdeles tilfredsstillende!!Home Tarup Odense får UG med x og slange"
"Martin Brix Uttrup",4,55,2021-03-02,"Tak for en god og behagelig oplevelse…","Tak for en god og behagelig oplevelse med Home Støvring. Vi blev guidet igennem hele salget og efter kun 14 dage havde hun fundet køberen til vores hus. Godt arbejde og Corona kram fra Martin og Sabrina"
"Anita Andersen Munch",3,55,2021-03-02,"HOME Thisted","Vi har brugt HOME Thisted til salg af vores hus. Ved hjælp af vores dygtige mægler blev vores hus solgt på under en uge. Det gik stærkt - og det var på baggrund af mæglerens kendskab til en køber i hans køberkartotek. Behagelig behandling og søde og rare. De kan bestemt anbefales."
"Mai-Britt Brun Schor",1,55,2021-03-02,"Ærlig og effektiv handel","Home Greve- Karlslunde har hjulpet os med salget af vores hus og det gjorde de godt, ærligt og effektivt. Fremvisninger i massevis og gode tilbagemeldinger fra dem, gjorde at vi fik en tryghed i at salget var i god gænge."
"Emil Ravn",12,55,2021-03-02,"Kæmpe anbefaling til Home Tarup!","Min kæreste og jeg har længe gået med tanken om at komme i gang med at kigge på bolig, men har altid været lidt bange for at tage skridtet. Et vennepar anbefalede os derfor at tage kontakt til Abi fra Home i Tarup, og vi blev bestemt ikke skuffede. Udover at Abi var god til at stille spørgsmål og lytte, kunne hun også svare på alle vores ""dumme"" spørgsmål. Abi agerede yderst professionel, og virkede særdeles kompetent i hendes rådgivning om vores første bolighandel. Vi er lige nu i løbende dialog med Abi, og vi glæder os til at komme i gang med at kigge på bolig i nær fremtid."
"Kirsten",3,45,2021-03-02,"Home i Nibe kan anbefales","Home i Nibe kan anbefales, hvis du skal sælge. De er gode til at følge op, når der har været fremvisninger. Vi har løbende været i dialog under salgsprocessen og de har en klar salgsstrategi."
"Henrik Jørgensen",1,55,2021-03-01,"Hurtigt og effektivt salg","Hurtigt og effektivt salg. Dygtige og imødekommende mæglere. Intet negativt at sige."
"Helga Hoffmann",1,55,2021-03-01,"Tryg og ærlig hussalg","Tusind tak for god behandling ved salg af mit lille hus. Det vigtigste for mig er tryghed og ærlighed.Alle møder/samtaler foregik stille og rolig i et trygt samvær. Og jeg føler, at jeg har fået en ærlig behandling.Det sætter jeg stor pris på."
"Jimmi Hedegaard Nielsen",2,55,2021-02-27,"Professionelt og trygt","Super oplevelse i forbindelse med salg af vores hus. Professionelt og trygt hele vejen igennem. Tak til hele holdet hos Home i Galten-Skovby."
"Thomas Palm Hansen",12,55,2021-03-01,"Professionelt og gnidningsfrit forløb.","Professionelt og gnidningsfrit forløb.Mæglerne var vel kommunikerende gennem forløbet, og den digitale platform virkede godt og intuitivt.Jeg kan varmt anbefale Home i Ebeltoft, som er min mægler på mit salg."
"Henrik Madsen",4,55,2021-02-26,"Home Randers","Ordentlighed!"
"Birgit Wanning Henriksen",3,55,2021-02-26,"En fornøjelse <U+0001F600>","Det har været, en fornøjelse, Home har været, helt helt fantastiske, i forbindelse med mit salg. Rigtig god kommunikation.Samtidig har jeg også fået hjælp, ved købet af ny lejlighed. Og det har været det samme.Så 1000 tak for hjælpen, til alle der har været mig behjælpelig <U+0001F600> mvh Birgit"
"Allan Stobberup",24,55,2021-02-26,"Home Horsens har været helt fantastiske…","Home Horsens har været helt fantastiske i deres vejledning af salget af vores hus, vi har virkelig følt os både set og hørt i hele processen, hvor kommunikationen har været super god, og alt har bare fungeret godt.Jeg giver Home mine bedste anbefalinger."
"Louise",34,55,2021-02-26,"Home i Hedehusene<U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F>","Home i Hedehusene<U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F>  Vi har solgt vores lejlighed og købt vores drømmehus i samarbejde med home i Hedehusene. Det er det sødeste og mest profesionelle team deroppe, og de gør virkelig mere end hvad der kan forventes af en mægler! De varmeste anbefalinger herfra."
"René de Blanck Hansen",3,55,2021-02-25,"god saglig behandling af hussalg","god saglig behandling af hussalg , let forståelig redegørelse af de div. papirer og opstilling af salgsaftale , tilfreds med de løbende feedbacks efter hver fremvisning."
"Henrik Hofmann Boyhus",3,55,2021-02-25,"Super professionelt salg og meget…","Super professionelt salg og meget hjælpsomme samt gode råd til køb hos anden mægler"
"Lilli Klausen",5,55,2021-02-25,"Home Bjerringbro udførte et godt stykke…","Home Bjerringbro udførte et godt stykke arbejde ved salget af min ejendom. Selvom det tog et stykke tid, mistede de ikke gejsten eller energien, hvilket var en god oplevelse. Jeg oplevede dem som professionelle, engagerede og venlige. Vi havde en god kommunikation og jeg har haft tillid til dem gennem hele processen."
"Pia Dall",5,55,2021-02-25,"God oplevelse hele vejen igennem","God oplevelse hele vejen igennem. Sober rådgivning, løbende orientering og salg til prisen."
"Kim Nybo Skjødt",1,55,2021-02-25,"Effektivt salgsforløb","Har haft et godt, effektivt og hurtigt salgsforløb med Home Svendborg. Klar anbefaling herfra."
"Klaus Sørensen",10,55,2021-02-26,"Tak til Trøjborg Home Aarhus Nord af salg af mit hus.","Super kommunikation hele vejen igennem. Vil en anden gang igen benytte  Home :--) Hilsen Klaus Sørensen"
"Jimmy Vitved",5,55,2021-02-25,"Salg sommerhus Home Middelfart","Hele vejen fra salgsvurdering til gennemførelse af salg af sommerhus, var der en stor seriøsitet i arbejdet. Information om alle forhold undervejs var fantastisk god."
"Thomas",16,55,2021-02-25,"Yderst tilfreds","Yderst tilfreds, kan kun anbefale Home Skagen til salg af din bolig<U+0001F3E1>"
"Daniel Hago Jensen",2,55,2021-02-24,"Solgt til prisen","Solgt til prisenEffektivt mægler arbejde, solgt efter anden fremvisning"
"Jan Stenberg",3,55,2021-02-25,"Topprofessionel","Topprofessionelt salgsarbejde i en altid positiv og imødekommende stemning.Hej BirgitteDet er Home i Sønderborg.VhJan"
"Leif Pedersen",1,55,2021-02-23,"Home Vejle","Solgt efter 2 uger. Bedre bliver det ikke.Stor tak til alle ved Home Vejle, som har været med til at gøre salget en realitet, og for at det hele er gået så let."
"Sofie",3,55,2021-02-23,"Bedste oplevelse","Jeg har haft den bedste oplevelse med salget af min lejlighed med Home, Lejlighedsbutikken Aarhus. Jeg oplevede generelt en enorm professionalisme fra yderst engagerede medarbejdere, tryghed omkring hele processen og en stor fleksibilitet. De var altid i øjenhøjde, og kommunikerede klart og tydeligt. Alt i alt en skøn oplevelse!"
"Kent ",17,55,2021-02-23,"Home Holbæk","Home Holbæk, har et virkelig energisk team, som følger op på alt fra fotografering til efter salg. Inden første fremvisning mødte hele mæglerteamet op, således at alle, som potentielt kunne komme til at fremvise huset, havde up to date viden om det hele. Vi blev som sælger inddraget hele vejen, og holdt orienteret om hvilke købere der var i spil og deres tilbagemelding efter fremvisning.Der blev virkeligt spejdet og fundet potentielle købere, og salget blev rent faktisk lukket med en køber fra udlandet, bl.a. med en virtuel fremvisning, således at vores bolig blev solgt på en fin og tryg måde på trods af afstanden. Vi synes, vi fik den rigtige pris men mener også at køber kan være tilfreds, så Home fik prissat vores hjem rigtigt. Vi vil give hele Home-teamet i Holbæk vores bedste anbefalinger, dette helt fra hjælp til valg af billeder til underskrift på salgsaftalen."
"sofie bratberg jensen",5,55,2021-02-23,"Vi kan varmt anbefale Home…","Vi kan varmt anbefale Home Frederikssund efter vores samarbejde med dem"
"A.c. Bjerregaard",55,55,2021-02-23,"Det har været en god oplevelse at sælge…","Det har været en god oplevelse at sælge vores lejlighed gennem HOME Hanne Fåborg."
"Ib Hemmingsen",6,55,2021-02-23,"Vi har fornylig solgt vores rækkehus…","Vi har fornylig solgt vores rækkehus gennem Home Tårnby/Dragør.Super Dygtige professionelle mæglere samt personale i forretningen.vi bliver mødt med stor forståelse for og vurdering af vores hus og også hvem vi er som sælger.Salget tog 14 dage med 10 fremvisninger og solgt til prisen, så vi står tilbage med en rigtig god fornemmelse af at der fra Homes side blev gjort rigtig meget for at hjælpe os med salget."
"Tonny Lacomble Nielsen",7,55,2021-02-23,"Solid rådgivning og gode resultater","Har købt og solgt både lejlighed, rækkehus og stor villa hos Home Nivå-Kokkedal, hvor vi hver gang har fået solid og troværdig rådgivning med gode resultater. Indehaver Kim Svane er nem at samarbejde med både som køber og sælger."
"Ludvig Adamsen",3,55,2021-02-23,"Kan varmt anbefale Home Sydhavnen & Projektsalg","Kan varmt anbefale Home Sydhavnen & Projektsalg - Super dygtige og professionelle mæglere. Til åbent hus ude i Bastionen mødte vi mægleren Simon Vogn Lauridsen, som hjalp os med at finde den helt rigtige lejlighed, ud fra de mange krav og kriterier vi havde til den. Fra vi reserveret lejligheden til vi fik den underskrevet lejekontrakt gik der kun 5 dage. Igennem hele forløbet sørgede Simon for næsten dagligt at informere os hvor vi var henne i processen - en fantastisk service og en enorm tryghed. Simon og hans andre mæglere, herunder Jacob Holm Harslev har været fuldkommen fantastiske."
"Kasper Albrechtsen",32,55,2021-02-23,"5 stjerner til home Aarhus C.","Super oplevelse med home Aarhus City der fik solgt min lejlighed til en fin pris - efter at lejligheden havde været online en uge. Var gennem hele forløbet fra underskrevet formidlingsaftale til underskrevne købspapirer velinformerende, effektive og agerede i det hele taget professionelt gennem hele forløbet. Og trods at adskillige forskellige mæglere havde fremvisninger på lejligheden agerede de alle som at de havde styr på sagerne, så man sad med en fin fornemmelse uanset hvilken mægler der var ude på dagen.home-appen og myHome webportalen er desuden rigtigt fine værktøjer til at følge med omkring det praktiske."
"Henrik Thormod Andersen",1,15,2021-02-22,"Home, Charlottenlund - en forfærdelig oplevelse","Vi praktiserer normalt ikke at skrive bedømmelser på diverse hjemmesider, men vores oplevelse med Home, Charlottenlund er af så dårlig karakter, at vi desværre føler os forpligtet til at skrive om dette, så andre har bedre muligheder, før de vælger mægler i Charlottenlund og omegn.Home, Charlottenlund vurderede indledningsvis, at lejligheder i vores bebyggelse er så attraktive, at det vil tage tre måneder at sælge ved skuffesalg og en måned hvis lejligheden blev annonceret på nettet. Home, Charlottenlunds bud på en skarp kvm-pris var 13% højere end en anden lejlighed i vores bebyggelse solgt et par måneder tidligere. Det var vi selvfølgelig glade for, men dog undrende over den store forskel.Salgsforløbet blev herefter startet op i juli 2020 med en ”diskret salg” fase hvor Home’s kundekartotek kunne komme i spil. Det var samtidig også op til vores ferie, så vi var bortrejst i tre uger hvilket gav optimale betingelser for fremvisning. Det var bare et problem: Home formåede ikke at frembringe en eneste fremvisning i hele 6 uger – Hvad er værdien af Home’s køberkartotek når man ikke kan lave en eneste fremvisning til en af de mest populære bebyggelser i Gentofte kommune i et ”brandvarmt” ejendomsmarked?Efter sommerferien fandt vi vores drømmehus, og vi slog til med en betinget købsaftale. Herefter aftalte vi med Home, at vores lejlighed skulle annonceres hurtigst muligt på nettet ultimo aug 2020. Efter 2½ måneds forløb var der ikke ”skyggen” af en aftale i sigte, og vi tog derfor initiativ til et opfølgningsmøde. Vi udfordrede Home på deres oprindelige forecast om, at lejligheden ville blive solgt hurtigt, og om prisen nu var sat skarpt nok til et hurtigt salg. Det hurtige salg virkede langt væk og tilliden til Home var skeptisk på baggrund af den store forskel mellem praktiske resultater og salgsforecast. På vores anmodning indgik vi derfor en aftale om at reducere kvm-prisen, så den ny pris var ca. 5% højere end et tilsvarende salg 2 måneder forinden. Status efter mødet: Home’s køberkartotek er uden værdi, og nu skulle man som sælger også selv prøve at sætte den skarpe pris.Efter tre måneders forløb  – og med en betinget købsaftale på vores drømme-rækkehus – som kom tættere og tættere på en udløbsdato var status uændret på vores eget salg, og et nyt møde med Home blev afholdt på vores initiativ. Her foreslog Home, at der skulle ”skrues op” for markedsføringen. Vi ville dog fortsat ikke tillade ""Til salg""-skilt eller annoncering i lokalavisen, og derfor foreslog Home at intensivere markedsføringen på SoMe. Det sagde vi OK til, men det virkede som en mærkelig strategi da målgruppen for vores lejlighed primært appellerer til 70+ segmentet -  Er denne kundegruppe brugere af disse platforme i forbindelse med huskøb?Men problemet med markedsføringsaftalen var, at Home brød den: I den næste lokalavis kunne vi se vores lejlighed annonceret – til gengæld er vi ikke klar over om man nogensinde annoncerede vores lejlighed på SoMe. Så nu kunne man altså heller ikke stole på Home, Charlottenlund.Problemet med annoncering i lokalavisen var, at dette øgede risikoen for at vores datter enten selv ville se at vores bolig var til salg eller høre om det gennem hendes legekammerater/deres forældre. Det var således pludseligt meget vanskeligt at leve op til Home’s egen rådgivning nedskrevet i deres bog ”Når børn flytter”. Her står meget specifikt på side 15: ”Det tjener børnene bedst at holde dem helt ude af alle overvejelser og plusser og minusser ved at flytte”.Som følge af dette ”Home skabte” rod, og for at skabe tryghed om vores fremtidige boligsituation, valgte vi – med accept fra vores bank – at påtage os en unødvendig økonomisk risiko – og ophøje vores købsbetingede aftale til et ”Køb før salg”.Vi var på dette tidspunkt klar til at flytte salget til anden mægler, men i ellevte time meldte sig en køber på banen. Den videre salgs- og overdragelsesproces herfra er gået tilfredsstillende, og derfor får Home en stjerne for dette.Der er efterfølgende afsluttet to ejendomshandler i vores tidligere ejerforening til kvm-priser, der ligger 9% og 13% højere og hvor liggetiderne har været under 14 dage eller klaret som skuffesalg. Den store forskel i handlet kvm-priser og liggetid i forhold til vores salg viser, at Home i vores tilfælde ikke havde nogen føling med markedet (køberne). Vi sidder helt klart tilbage med det samlede indtryk, at man har taget for let på det og tænkt, at lejligheder i vores bebyggelse sælger sig selv. Men det gjorde det ikke i vores tilfælde, og forløbet viser vigtigheden af at man vælger en mægler der har et brugbart køberkartotek, kan sætte en skarp pris og har føling med markedet (kunderne). Intet af dette fandt vi hos Home, Charlottenlund, og vi kan på ingen måde anbefale dette foretagende."
"henning strand",39,55,2021-02-22,"jeg  har benyttet mig af home som…","jeg  har benyttet mig af home som ejendommægler siden 1983 og er godt tilfreds med den måde de har taklet de ejendomshandler jeg har indgået den sidste i fredericia"
"Rikke",3,55,2021-02-22,"Meget fair og gennemskueligt at handle…","Meget fair og gennemskueligt at handle med Home Svanemøllen. Kan kun anbefales!"
"Big Bird",1,55,2021-02-21,"Home personalet er profesional","Home personalet er profesional, dygtig og tag salg seriøst. Det bedste anbefalinger går tl Home for deres top arbejde."
"Laila Buhelt",1,55,2021-02-20,"Professionelle i Home Skagen","Professionelle i Home Skagen. Vi blev løbende orienteret om hvordan det gik. Hjælpsomme med alt vi spurgte om. Vil klart anbefale dem på det varmeste"
"Maj-Britt",6,55,2021-02-20,"Super professionelt","Professionelt forløb omkring salget af vores forældres hus. Vi valgte Home, da de dels gav den bedste og mest realistiske vurdering af vores hus. Mikkel Olsen fra home var helt nede på jorden, og vi følte os godt behandlet fra dag 1.  Selv her under efterforløbet bliver vi løbende orienteret og kan følge med i Home-appen. Vi giver Home i Korsør vores varmeste anbefalinger."
"Ulla",12,55,2021-02-20,"Fantastisk hurtig og effektiv salg på…","Fantastisk hurtig og effektiv salg på 14 dage af home Ebeltoft Syddjurs . Hurtige til at vende tilbage efter fremvisning, Kan virkelig anbefales.Fortjener alle stjernerne"
"Pia ",4,55,2021-02-22,"I verdensklasse","I verdensklasse - ganske enkelt. SÅ professionelt fra start til slut med et KÆMPE engagament fra de personer, der var tilknyttet os og vores hus. Løbende dialog, så vi hele tiden vidste, hvor langt vi var i processen. Et STORT TAK til HOME Aalborg-Hasseris."
"Else Iversen",1,55,2021-02-22,"Salg af villa med spec. Indtetetning.","Altid imødekommende med stor forståelse for mon aktuelle situation.Hele vejen i processen følt mig vel informeret. Ydede det aller bedste for at sælge hurtigst muligt til den bedst mulige pris.Ejendomsmægleren var Home i Grindsted"
"Merete Friis",3,55,2021-02-19,"Home Herning - Per Kofoed","Fantastisk god oplevelse af have Per Kofoed fra Home Herning til at sælge vores hus igennem 25 år, som blev solgt på 2,5 måned.Meget informativ i hele forløbet og en god håndtering af kontakten til interesserede købere. Prissætningen og forventningen til hele salgsforløbet har været helt i top.Dejligt at samarbejde med en erfaren ejendomsmægler, som ved hvad han har med at gøre, og som står klar 24/7. Vi er glade for at vi valgte Per og Home Herning til at sælge vores bolig.Merete Friis og Flemming Pedersen - Gadegårdsvej 16, Lind."
"Søren",17,55,2021-02-19,"Home i Aabenraa - fantastisk mæglervirksomhed","Fantastisk forløb omkring salget af vores hus. Vi havde møde med en anden mægler og Home omkring salget af vores bolig. Vi valgte Home, da de dels gav den bedste og mest realistiske vurdering af vores hus (Den anden mæglers vurdering var helt skæv). Mægleren fra home var helt nede på jorden, og vi følte os godt behandlet fra dag 1. Salget tog under en uge, og der var styr på alt under forløbet. Selv her under efterforløbet bliver vi løbende orienteret og kan følge med i Home-appen. Vi giver Home i Aabenraa vores varmeste anbefalinger."
"Inge Stoustrup",3,55,2021-02-19,"Jeg har haft en rigtig god oplevelse…","Jeg har haft en rigtig god oplevelse med Home i forbindelse med salg af hus"
"Lene Saarup Mortensen",15,55,2021-02-19,"home Løkken/Blokhus den suverænt bedste mægler","Jeg har brugt andre mæglere til salget af mit sommerhus, men det endte med at blive home Løkken/Blokhus, der solgte det. Jeg er yderst tilfreds med homes håndtering af sagen. Professionel platform til fremvisning af huset samt en app, hvor jeg let kunne kommunikere med mæglerne. God og hurtig opfølgning undervejs efter fremvisninger og forhandling i slutfasen. Giver home Løkken/Blokhus mine varmeste anbefalinger og har tænkt mig at kontakte home, når jeg skal handle bolig i Kbh."
