"name","reviewCount","rating","published","title","content"
"Mogens indkøbsvogn",2,15,2022-12-09,"Hej.","Hej.Jeg har lige købt et nyt hjem og klager allerede over lugten.Jeg har fundet flere mugne dyr under mit gulv og har hørt lyde fra mine vægge.dette hus har også givet min hund RAPIES. Jeg har overvejet at rejse til KINA for at spise den op til flere gange. Jeg har blevet nødt til at Aflive den er meget ked af det.Kh. Mogens"
"Helle Jessen ",14,55,2022-12-10,"Jeg har kun godt at sige om min…","Jeg har kun godt at sige om min oplevelse med HOME i Tønder i forbindelse med salg af mors hus. Samarbejdet foregik upåklageligt og medarbejderne jeg snakkede med næsten dagligt i de tre uger indtil huset var solgt var kompetente og yderst hjælpsomme. Alt i alt er 5 stjerner velfortjent.<U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F>"
"Gert",9,55,2022-12-08,"Super oplevelse med Home","Vi havde en super oplevelse med Home Broager og Home Sønderborg som solgte vores sommerhus på kun 3 mdr selvom det er efterår. Vi er under hele forløbet blevet holdt orienteret om hvad skal der sker og fået opfølgninger efter fremvisninger. Vi har under intet tidspunkt følt at vi ikke blev taget med i hvad der sker. Stor ros til dem, kan kun anbefales."
"Nete",3,55,2022-12-08,"Stjernestunder i HOME Nykøbing Sj","Stjernestunder i HOME Nykøbing Sj. og Rørvighvor jeg igennem mange år er blevet hjulpet med køb og salg af henholdsvis huse, grund og sommerhuse. Det har altid været med en meget effektiv, professionel og personlig behandling, hvor Home er lydhør over for kundens ønsker og giver klar besked på alle spørgsmål. Aftaler overholdes og forespørgsler besvares hurtigt og grundigt.Frem for alt: en tryg bolighandel fra HOME i Nykøbing Sj. og Rørvig som varmt anbefales."
"Jane Clausen",11,55,2022-12-06,"Hurtig effektiv og professionel…","Hurtig effektiv og professionel rådgivning.Lever fuldt ud op til mine forventninger. Samtidig med en venlig og imødekommende måde at takle salget på. Har ikke et sekund fortrudt valget af mægler."
"Josef",1,55,2022-11-19,"Tak til home Lyngen","Jeg var rigtig glad for at sælge mit Ellinge Lyng-sommerhus gennem home. Der var god rådgivning og service og der blev leveret på det som var vigtigst for mig. Julie gjorde en kæmpe indsats for at få det til at lykkes og det gav pote! Min fornemmelse er at køber også var glad og havde følt ser godt behandlet, hvilket er virkeligt rart den dag man overleverer nøglerne og siger farvel til sit hus. MVH Josef"
"Niels Peter Dam",2,55,2022-11-22,"Super professionelt salg","Home Århus Nord har solgt vores landejendom. Gennem hele processen har vi følt os godt informeret og rådgivet af superproffesionelle Andreas. Vi har oplevet mæglerne Andreas og Mads, gøre alt for at vores salg skulle lykkedes. Vi vil til enhver tid anbefale home Århus NordVh Marianne og Niels Peter"
"Ane Jørgensen",54,25,2022-11-29,"Spam","Jeg vil betegne mig selv som meget it-kyndig. Men jeg kan simpelthen ikke afmelde jeres sms. Jeg får både sms og mails, samt notifikationer på app – og det er for meget. På indstillinger på min tlf. har jeg slået notifikationer fra, da jeg ikke kunne finde muligheden i appen. Men jeg kan ikke afmelde sms. Der er ingen vejledning i sms’erne til hvordan jeg gør, og når jeg logger ind på Home sendes jeg videre til jeres app, hvor jeg ikke kan finde muligheden for at afmelde sms. Lader jeg være med at logge ind på Homes hjemmeside, så finder jeg heller ingen informationer der guider mig. Det burde være nemt at afmelde. Jeg ønsker kun mails."
"Jens Thøgersen",1,55,2022-11-18,"Home Skive,","Kære Home Skive,Tak for salget af vores barndomshjem - salget gik fint og kvikt på trods af gasfyr og stigende renter. Mægler hele tiden tilgængelig, aktiv og modtagelig for vores input ift, hvordan huset skulle præsenteres og ift hvordan salget kunne fremskyndes - hvor alt foregik en positiv atmosfære - også i forbindelse med kontaktet til sælger.Hilsen tilfreds sælger"
"Contusio",3,55,2022-12-12,"Tak til Home for et godt forløb","Tak til Home for et godt forløb. Jeg fik solgt et sommerhus. Hurtigt, effektivt og med klart overblik. Altid god opfølgning og feedback fra fremvisningerne."
